Date,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ,Mkt-RF,SMB,HML,RF
5/30/2007,126.9633102,46.8689003,64.72000122,41.85456848,116.0578461,97.93580627,49.04335403,24.72160912,385.6799927,17.13072586,29.64208412,27.35886383,38.30847549,0.55,0.24,-0.05,0.018
5/31/2007,127.1235199,47.32268524,65.54000092,42.04970551,115.9368973,97.9447403,49.23795319,24.83470726,391.6799927,17.07355118,29.66604805,27.47149658,38.55218887,0.24,0.61,-0.03,0.018
6/1/2007,126.9363556,47.58198929,66.44000244,42.07630157,116.5116119,97.96002197,49.69448853,24.87240791,395.6799927,17.20060539,30.60582352,27.76739883,38.83341599,0.77,-0.21,-0.06,0.018
6/4/2007,127.522316,47.74403381,66.54000092,42.20048904,116.5266953,98.00488281,49.42505646,24.72160912,402.7999878,17.21331215,30.52270508,28.05376434,38.9084053,0.13,0.35,-0.31,0.018
6/5/2007,127.84375,47.67922592,66.37000275,42.20048904,116.0654144,97.99590302,49.04335403,24.79700851,400.1600037,17.15614128,30.33529854,27.94494438,38.65843964,0.44,0.31,0.05,0.019
6/6/2007,127.6546783,47.48474503,66.41000366,41.74813843,114.8177032,98.01382446,48.54192734,24.60851097,402.480011,16.92426491,29.47583199,27.59557533,37.95851135,0.18,0.07,-0.01,0.019
6/7/2007,126.9268723,47.29026794,65.26000214,41.10068893,112.7457657,98.05870819,48.25753403,25.03263092,405.2000122,16.45414162,28.54027176,27.22330856,37.05860138,-0.55,-0.12,-0.22,0.019
6/8/2007,126.3787079,47.51716232,64.22000122,41.60623169,114.2128067,98.07666779,47.59892654,24.91010666,392.480011,16.58119965,29.28561783,27.68148613,37.6210556,-0.92,0.11,0.03,0.019
6/11/2007,126.3219986,47.45232773,64.69999695,41.52641296,114.4093628,98.08563995,48.52695465,25.31537819,398.7200012,16.62249184,29.67871475,27.68148613,37.60228729,-1.75,-0.05,0.11,0.019
6/12/2007,125.8494186,46.836483,64.09999847,41.27806854,113.161705,98.09461212,47.71118927,25.41905212,396.480011,16.35884094,29.09821892,27.20994949,36.90237045,1.07,-0.03,-0.06,0.019
6/13/2007,126.0478745,46.96613312,64.52999878,41.73041534,114.855545,98.07666779,47.94319916,25.71122742,400.7200012,16.59707832,29.76607513,27.64331055,37.51480484,0.08,-0.31,0.16,0.019
6/14/2007,125.9817734,47.03096771,64.59999847,42.00536346,115.589035,98.14844513,48.78142548,25.91857529,408.7999878,16.72413254,30.35644341,27.75212479,38.03349304,-1.06,-0.18,-0.08,0.019
6/15/2007,126.6433945,47.45232773,64.84999847,42.39323807,116.2467194,98.17536163,49.3127861,26.26729965,412.2399902,17.00662994,31.06233788,27.97739983,38.61317444,1.37,-0.2,-0.18,0.019
6/18/2007,126.8985596,47.35508728,64.94999695,42.40213013,116.1100082,98.18437195,49.69448853,26.53119659,417.1199951,16.72955894,31.166605,28.09576035,38.6641922,0.5,0.12,-0.13,0.019
6/19/2007,127.0592422,47.32268524,65.48000336,42.39323807,116.398613,98.21123505,49.74686813,25.56042671,416.9599915,16.67222977,31.03979683,28.37830544,38.79175186,0.69,0.49,0,0.019
6/20/2007,126.9363556,46.9985466,64.70999908,41.99382401,114.7809601,98.23815155,49.36517715,25.66410065,412.3999939,16.37286186,30.40011978,28.21602821,38.2624321,-0.13,-0.02,-0.02,0.019
6/21/2007,126.7851639,47.22544098,64.55999756,42.37551117,115.4188614,98.24710846,48.72903061,25.60755348,412.7999878,16.36967659,30.72981071,28.50811768,38.50476456,0.14,0.02,0.12,0.019
6/22/2007,127.522316,46.77166367,64.77999878,41.9760704,114.3329086,98.27407074,48.27249908,25.15515518,415.1199951,16.11489868,30.405756,28.135849,38.10300446,-1.29,0.08,-0.17,0.019
6/25/2007,127.5602036,46.51236343,64.43000031,41.79854965,113.786171,98.28301239,47.96564102,24.7875824,415.6799927,15.93018055,29.89851761,28.15494347,38.02010727,0.56,-0.18,-0.04,0.019
6/26/2007,127.4751205,46.5771904,63.61999893,41.55888367,112.6166,98.29198456,47.74861526,25.13630486,408.9599915,15.86329937,29.41947365,27.94303513,37.83517838,-1.25,0.59,-0.01,0.019
6/27/2007,127.4183884,46.67443085,63.66999817,42.19797897,114.2190323,98.31887054,47.8010025,24.73103333,415.0400085,16.3378334,29.80693626,27.79603577,38.07750702,-0.39,-0.41,-0.09,0.019
6/28/2007,127.4089661,46.5771904,64.26000214,42.18021393,114.2038498,98.34585571,48.19017029,24.79700851,419.7600098,16.39515114,29.97319603,28.03657722,38.21142197,-0.35,0.15,-0.24,0.019
6/29/2007,128.2690887,47.03096771,64.26999664,42.25123596,114.2417679,98.37277985,47.99559021,24.88183212,424,16.20088387,30.07887268,28.02893448,38.37723541,0.92,0.48,-0.35,0.019
7/2/2007,129.1893921,47.87369156,65.01999664,42.63290024,115.2745895,98.37634277,49.32027435,24.79700851,428.2399902,16.45885277,30.67345047,28.54056358,38.96391678,0.03,0.17,0.06,0.019
7/3/2007,129.1324921,47.77645874,64.73999786,42.88144684,115.6923065,98.35830688,49.39511871,24.4765625,428.3200073,16.53847313,30.85521317,28.460392,39.14884949,-0.19,-0.34,-0.05,0.019
7/5/2007,129.0187836,47.64680862,64.41999817,43.19211197,115.5707855,98.40337372,48.95355606,24.85355759,433.2000122,16.56713295,31.20604515,28.63602448,38.96391678,1.06,-0.08,0.13,0.019
7/6/2007,129.2745972,47.41991806,64.95999908,43.36965942,116.1783524,98.40337372,49.61963654,25.17400551,437.4400024,16.59261322,31.47657585,28.93383789,39.28276825,0.36,-0.05,-0.11,0.019
7/9/2007,129.1703186,47.41991806,65.37999725,43.39628983,116.269455,98.43041992,50.25579071,25.10803223,434.7999878,16.68815613,31.56111717,29.22783852,39.3019104,0.07,0.19,-0.59,0.019
7/10/2007,130.2697601,47.51716232,65.61000061,43.032341,114.6139374,98.46644592,50.1734581,25.59812737,437.7600098,16.59261322,31.00879288,28.82693481,38.70883179,0.4,-0.08,-0.09,0.019
7/11/2007,130.487793,47.35508728,65.44000244,43.32526779,115.4265137,98.46644592,49.92648315,25.61697769,437.2799988,16.69452477,31.55124855,28.93193054,39.07870102,0.1,0.07,-0.09,0.019
7/12/2007,130.8100281,47.67922592,66.01999664,43.9909935,117.2491455,98.48445129,50.15100479,25.87145233,437.9200134,16.82510376,32.49102783,29.46074677,40.02251434,-1.43,-0.16,-0.35,0.019
7/13/2007,130.8668976,47.90610886,66.02999878,44.29278564,117.598465,98.50246429,50.71979904,25.98455048,444.3200073,16.96204376,32.5755806,29.47220039,39.88220978,0.55,-0.28,-0.14,0.019
7/16/2007,130.7910309,47.80886841,65.81999969,44.24839401,117.5832596,98.51148987,50.44289017,25.10803223,446.0799866,16.72000122,32.23178864,29.30420494,39.87582779,1.78,-0.18,-0.29,0.019
7/17/2007,130.7910309,47.54956436,65.75,44.5857048,117.5225754,98.52952576,50.33811188,24.59908485,445.1199951,16.69452477,32.19514465,29.33856201,39.70365906,0.28,-0.29,0.02,0.019
7/18/2007,130.9806366,47.32268524,66.62000275,44.53245163,117.3099136,98.55657196,50.32314682,25.04205704,452.6400146,16.72000122,32.2655983,29.23166084,39.47407913,-0.31,-0.44,-0.32,0.019
7/19/2007,130.9615936,47.54956436,67.01000214,44.66558838,117.765564,98.57459259,51.19130325,24.92895699,456.6400146,16.8951664,32.55020523,29.56382942,39.70365906,0.02,0.14,-0.18,0.019
7/20/2007,131.2743988,47.35508728,67.58000183,44.42593002,116.5732422,98.61063385,50.88444901,24.8629837,456,16.56713295,32.08948517,29.52182579,39.05319214,-0.25,-0.21,-0.21,0.019
7/23/2007,131.0564423,47.64680862,67.47000122,44.44367218,116.9301758,98.61063385,51.70770645,24.22208595,451.0400085,16.54165649,32.82215881,29.791008,39.3019104,0.44,0.33,-0.46,0.019
7/24/2007,131.2459717,47.48474503,67.47000122,43.7868309,114.9024658,98.61966705,50.62999725,24.43885994,441.2799988,16.4015274,31.52166176,29.43973732,38.49838257,-1.25,-0.27,-0.18,0.019
7/25/2007,130.3076935,47.51716232,66.90000153,43.84897995,115.1379089,98.64669037,50.51025391,24.53310966,459.519989,16.65631104,31.31454277,29.58483124,38.30070496,0.36,-0.4,-0.49,0.019
7/26/2007,130.5446777,46.67443085,65.65000153,43.47616196,112.4115601,98.70077515,48.63922119,24.61793327,449.7600098,16.51299095,29.69421577,28.12058067,37.04441833,-2.04,-0.49,-0.29,0.019
7/27/2007,129.5968933,46.22063828,65.41000366,42.59742737,110.2015762,98.70077515,47.83842087,24.50483322,461.9200134,16.17222023,29.62375641,27.36650085,36.54063034,0.3,-0.45,0.12,0.019
7/30/2007,130.1750336,46.9985466,65.76999664,43.09448624,111.9254608,98.70077515,48.43715286,24.34461212,460,16.21043968,30.41561127,28.05947685,37.29950333,-2.36,-0.02,-0.17,0.019
7/31/2007,130.0707397,46.77166367,65.79000092,42.18909454,110.6648636,98.73679352,47.63635254,24.70275879,468.2399902,16.02254295,30.25076103,27.87239647,37.14007187,-1.51,-0.06,0.13,0.019
8/1/2007,129.9386444,46.4151268,65.93000031,42.51751709,111.2040329,98.77116394,47.03014374,24.42000961,462.0799866,15.914258,29.98305321,27.48677254,37.34413528,0.93,-0.23,-0.07,0.019
8/2/2007,130.261795,46.18823242,65.88999939,42.90808487,112.0925674,98.80738831,47.89829254,24.64620781,461.6000061,16.35375404,30.36348152,27.67576599,37.48443604,-1.19,0.35,-0.13,0.019
8/3/2007,131.0887909,45.53998184,66.69000244,42.09144211,109.2067566,98.83454132,46.75322342,24.53310966,451.519989,16.24547768,28.96436882,26.78423119,36.97427368,0.51,-0.51,-0.26,0.018
8/6/2007,131.060257,46.22063828,66.51999664,42.57966614,111.0369644,98.82546234,47.0226593,24.58965874,433.6000061,16.61172104,29.34199333,27.33786201,37.5035553,0.55,0.15,-0.3,0.018
8/7/2007,130.7370605,46.12341309,66.48000336,42.88144684,112.2216721,98.83454132,47.78596115,24.74045753,434.8800049,17.02891731,29.75057793,27.36650085,37.87980652,-2.66,-0.63,-0.75,0.018
