Date,SPY
2008-04-18,106.75213623046875
2008-04-21,106.80610656738281
2008-04-22,106.33586120605469
2008-04-23,106.1662826538086
2008-04-24,106.62882232666016
2008-04-25,107.61553192138672
2008-04-28,107.63867950439453
2008-04-29,107.21468353271484
2008-04-30,106.5825424194336
2008-05-01,108.78728485107422
2008-05-02,109.08789825439453
2008-05-05,108.56376647949219
2008-05-06,109.50423431396484
2008-05-07,107.55389404296875
2008-05-08,107.27633666992188
2008-05-09,107.07592010498047
2008-05-12,108.27847290039062
2008-05-13,108.29390716552734
2008-05-14,108.51742553710938
2008-05-15,109.87425231933594
2008-05-16,109.9744873046875
2008-05-19,110.27510070800781
2008-05-20,109.38089752197266
2008-05-21,107.53074645996094
2008-05-22,107.54615783691406
2008-05-23,106.1045913696289
2008-05-27,106.89091491699219
