Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ
2015-03-04,108.980003,49.040001000000004,115.110001,108.449997,210.229996,110.279999,22.75,19.01,74.019997,30.43,69.760002,46.220001,38.880001
2015-03-05,108.510002,49.32,115.0,108.639999,210.460007,110.260002,22.6,18.709999,75.856667,30.09,70.220001,45.919998,38.990002000000004
2015-03-06,106.75,49.240002000000004,111.860001,107.410004,207.5,110.269997,22.59,18.24,74.90666999999999,29.299999,69.0,45.330002,38.18
2015-03-09,106.779999,49.080002,111.970001,107.720001,208.360001,110.260002,22.58,18.35,74.86333499999999,28.66,68.699997,45.310001,38.34
2015-03-10,105.260002,48.360001000000004,111.41999799999999,105.720001,204.979996,110.269997,22.450001,17.91,75.13333100000001,28.309998999999998,66.110001,44.34,37.380001
2015-03-11,103.66999799999999,48.799999,110.75,105.110001,204.5,110.260002,22.41,17.77,75.503334,28.639999,66.519997,44.310001,37.650002
2015-03-12,104.449997,49.880001,110.720001,105.800003,207.100006,110.260002,22.41,17.440001000000002,75.57,28.719998999999998,66.75,45.150002,37.939999
2015-03-13,103.08000200000001,49.919998,110.879997,105.339996,205.830002,110.269997,22.07,16.799999,76.143333,28.040001,66.230003,44.439999,37.669998
2015-03-16,104.010002,50.119999,110.809998,106.699997,208.580002,110.269997,22.26,16.35,77.27666500000001,28.26,65.900002,44.880001,38.330002
2015-03-17,104.190002,50.240002000000004,110.209999,106.870003,207.96000700000002,110.260002,22.08,15.96,77.709999,28.639999,66.410004,44.630001,38.16
2015-03-18,106.639999,51.040001000000004,112.370003,107.91999799999999,210.460007,110.25,22.35,16.76,77.206665,29.629998999999998,68.32,45.68,38.77
2015-03-19,104.690002,50.439999,112.290001,108.08000200000001,209.5,110.260002,22.26,16.08,79.32666800000001,28.719998999999998,66.760002,45.490002000000004,38.189999
2015-03-20,106.32,51.240002000000004,113.57,108.529999,210.41000400000001,110.260002,22.549999,16.43,77.953331,29.57,68.356003,46.369999,39.290001000000004
2015-03-23,107.839996,51.48,114.290001,108.32,210.0,110.269997,22.74,16.780001000000002,76.39666700000001,29.940001000000002,69.010002,46.630001,39.470001
2015-03-24,107.440002,51.360001000000004,114.57,107.93,208.820007,110.260002,22.610001,16.790001,75.82666800000001,29.969998999999998,69.010002,46.689999,39.669998
2015-03-25,107.879997,51.240002000000004,114.730003,105.459999,205.759995,110.260002,22.549999,17.360001,71.743332,29.57,68.599998,46.369999,39.389998999999996
2015-03-26,107.07,50.720001,115.480003,105.099998,205.270004,110.260002,22.389999,18.209999,71.453331,29.01,67.809998,46.200001,39.049999
2015-03-27,107.160004,50.919998,115.059998,105.519997,205.740005,110.260002,22.32,17.139999,73.13666500000001,28.82,67.879997,46.029999,39.240002000000004
2015-03-30,106.32,51.119999,113.75,106.730003,208.25,110.260002,22.34,17.23,74.790001,29.27,68.360001,45.830002,39.380001
2015-03-31,105.709999,50.119999,113.660004,105.599998,206.429993,110.269997,22.139999,16.84,75.166664,29.35,68.58000200000001,45.360001000000004,38.82
2015-04-01,105.800003,50.32,115.599998,105.050003,205.699997,110.269997,22.41,17.58,73.596664,30.25,69.449997,45.599998,39.16
2015-04-02,106.989998,50.759997999999996,115.279999,105.120003,206.440002,110.260002,22.74,17.559998999999998,73.403336,30.75,70.290001,45.75,39.57
2015-04-06,107.589996,51.360001000000004,116.690002,105.980003,207.830002,110.269997,22.690001000000002,18.43,73.193336,31.24,71.690002,46.060001,39.990002000000004
2015-04-07,106.339996,51.599998,116.110001,105.800003,207.279999,110.269997,22.629998999999998,19.059998999999998,73.550003,31.110001,71.360001,46.209998999999996,39.740002000000004
2015-04-08,106.029999,51.68,115.470001,106.639999,207.979996,110.279999,22.51,18.07,75.676666,31.48,71.360001,47.0,39.630001
2015-04-09,104.769997,51.68,114.66999799999999,107.309998,208.899994,110.279999,22.440001000000002,18.030001000000002,75.400002,31.280001000000002,71.360001,47.560001,39.529999
2015-04-10,104.33000200000001,51.759997999999996,115.970001,107.75,210.039993,110.279999,22.32,18.41,76.459999,31.290001,71.199997,47.509997999999996,39.630001
2015-04-13,104.029999,51.400002,115.139999,107.480003,209.08999599999999,110.269997,22.129998999999998,18.5,77.36333499999999,30.860001,70.83000200000001,46.990002000000004,39.400002
2015-04-14,104.709999,51.759997999999996,114.440002,107.16999799999999,209.490005,110.279999,22.27,18.82,77.300003,31.299999,71.389999,47.259997999999996,39.549999
2015-04-15,105.07,52.0,115.43,107.839996,210.42999300000002,110.279999,22.219998999999998,19.709999,77.703331,31.889999,70.470001,47.34,39.68
2015-04-16,105.889999,52.119999,115.029999,107.690002,210.36999500000002,110.279999,22.379998999999998,19.940001000000002,78.273338,32.09,72.470001,47.689999,39.540001000000004
2015-04-17,106.360001,51.720001,115.599998,106.010002,207.949997,110.279999,22.25,19.84,76.926666,31.440001000000002,71.010002,46.93,38.849998
2015-04-20,105.550003,51.880001,114.720001,107.599998,209.850006,110.269997,22.07,19.889999,77.083336,31.32,70.629997,46.810001,38.98
2015-04-21,105.540001,52.68,115.379997,108.059998,209.600006,110.269997,22.1,19.450001,77.650002,31.360001,71.58000200000001,46.860001000000004,39.16
2015-04-22,105.449997,53.080002,113.83000200000001,108.650002,210.63000499999998,110.269997,22.030001000000002,19.360001,77.543335,31.780001000000002,70.990501,46.98,39.25
