Date,AAPL
2013-02-26,14.036462783813477
2013-02-27,13.898902893066406
2013-02-28,13.799796104431152
2013-03-01,13.458085060119629
2013-03-04,13.132316589355469
2013-03-05,13.479031562805176
2013-03-06,13.30770206451416
2013-03-07,13.461524963378906
2013-03-08,13.497166633605957
2013-03-11,13.689436912536621
2013-03-12,13.394304275512695
2013-03-13,13.391805648803711
2013-03-14,13.521551132202148
2013-03-15,13.870452880859375
2013-03-18,14.247491836547852
2013-03-19,14.209041595458984
2013-03-20,14.133694648742676
2013-03-21,14.154013633728027
2013-03-22,14.44101333618164
2013-03-25,14.493226051330566
2013-03-26,14.41694164276123
2013-03-27,14.133694648742676
2013-03-28,13.839191436767578
2013-04-01,13.409314155578613
2013-04-02,13.4368257522583
2013-04-03,13.505602836608887
2013-04-04,13.372108459472656
2013-04-05,13.230799674987793
2013-04-08,13.32490062713623
2013-04-09,13.34897518157959
2013-04-10,13.621283531188965
2013-04-11,13.578763008117676
2013-04-12,13.437138557434082
2013-04-15,13.126066207885742
2013-04-16,13.325840950012207
2013-04-17,12.593018531799316
2013-04-18,12.256936073303223
2013-04-19,12.209412574768066
2013-04-22,12.463899612426758
2013-04-23,12.697126388549805
2013-04-24,12.676177978515625
2013-04-25,12.767470359802246
2013-04-26,13.04321575164795
2013-04-29,13.4471435546875
2013-04-30,13.842939376831055
2013-05-01,13.733830451965332
2013-05-02,13.928605079650879
2013-05-03,14.068039894104004
2013-05-06,14.403501510620117
2013-05-07,14.339407920837402
2013-05-08,14.501355171203613
2013-05-09,14.374842643737793
2013-05-10,14.255253791809082
2013-05-13,14.310954093933105
2013-05-14,13.968558311462402
2013-05-15,13.496183395385742
2013-05-16,13.67651081085205
2013-05-17,13.634965896606445
2013-05-20,13.939289093017578
2013-05-21,13.836380004882812
2013-05-22,13.889566421508789
2013-05-23,13.914429664611816
2013-05-24,14.00915241241455
2013-05-28,13.892400741577148
2013-05-29,14.002860069274902
2013-05-30,14.211509704589844
2013-05-31,14.153289794921875
2013-06-03,14.18444538116455
2013-06-04,14.1400728225708
2013-06-05,14.007895469665527
2013-06-06,13.798613548278809
2013-06-07,13.904038429260254
2013-06-10,13.812149047851562
2013-06-11,13.771550178527832
2013-06-12,13.601297378540039
2013-06-13,13.719938278198242
2013-06-14,13.533950805664062
2013-06-17,13.595315933227539
2013-06-18,13.588077545166016
2013-06-19,13.312082290649414
2013-06-20,13.118221282958984
2013-06-21,13.013107299804688
2013-06-24,12.66818904876709
2013-06-25,12.671022415161133
2013-06-26,12.527517318725586
2013-06-27,12.392505645751953
2013-06-28,12.479050636291504
2013-07-01,12.878410339355469
2013-07-02,13.170145034790039
2013-07-03,13.242841720581055
2013-07-05,13.136473655700684
2013-07-08,13.061888694763184
2013-07-09,13.291624069213867
2013-07-10,13.240639686584473
2013-07-11,13.447091102600098
2013-07-12,13.422540664672852
2013-07-15,13.45180606842041
2013-07-16,13.538667678833008
2013-07-17,13.542129516601562
2013-07-18,13.587760925292969
2013-07-19,13.373446464538574
2013-07-22,13.41624641418457
2013-07-23,13.185881614685059
2013-07-24,13.86313247680664
2013-07-25,13.799874305725098
2013-07-26,13.8782377243042
2013-07-29,14.09223461151123
2013-07-30,14.266273498535156
2013-07-31,14.241410255432129
2013-08-01,14.372011184692383
2013-08-02,14.556427955627441
2013-08-05,14.773894309997559
2013-08-06,14.641716003417969
2013-08-07,14.633213996887207
2013-08-08,14.60407543182373
2013-08-09,14.396262168884277
2013-08-12,14.805227279663086
2013-08-13,15.508809089660645
2013-08-14,15.791695594787598
2013-08-15,15.773009300231934
2013-08-16,15.913022994995117
2013-08-19,16.08440589904785
2013-08-20,15.873113632202148
2013-08-21,15.913970947265625
2013-08-22,15.932982444763184
2013-08-23,15.871529579162598
2013-08-26,15.933302879333496
2013-08-27,15.477767944335938
2013-08-28,15.550938606262207
2013-08-29,15.576284408569336
2013-08-30,15.434368133544922
2013-09-03,15.47744369506836
2013-09-04,15.797717094421387
2013-09-05,15.689375877380371
2013-09-06,15.782827377319336
2013-09-09,16.03466796875
2013-09-10,15.669414520263672
2013-09-11,14.81632137298584
2013-09-12,14.974078178405762
2013-09-13,14.727303504943848
2013-09-16,14.25909423828125
2013-09-17,14.423823356628418
2013-09-18,14.720337867736816
2013-09-19,14.961724281311035
2013-09-20,14.806815147399902
2013-09-23,15.542706489562988
2013-09-24,15.493919372558594
2013-09-25,15.25411319732666
2013-09-26,15.402680397033691
2013-09-27,15.292763710021973
2013-09-30,15.102696418762207
2013-10-01,15.457807540893555
2013-10-02,15.508488655090332
2013-10-03,15.313671112060547
2013-10-04,15.30163288116455
2013-10-07,15.451153755187988
2013-10-08,15.235428810119629
2013-10-09,15.414408683776855
2013-10-10,15.511027336120605
2013-10-11,15.611448287963867
2013-10-14,15.71376895904541
2013-10-15,15.79740047454834
2013-10-16,15.874377250671387
2013-10-17,15.981766700744629
2013-10-18,16.12083625793457
2013-10-21,16.515867233276367
2013-10-22,16.46866798400879
2013-10-23,16.62990951538086
2013-10-24,16.850072860717773
2013-10-25,16.661590576171875
2013-10-28,16.785764694213867
2013-10-29,16.367610931396484
2013-10-30,16.628005981445312
2013-10-31,16.55831527709961
2013-11-01,16.473731994628906
2013-11-04,16.68661117553711
2013-11-05,16.645435333251953
2013-11-06,16.5982723236084
2013-11-07,16.329666137695312
2013-11-08,16.586801528930664
2013-11-11,16.53868865966797
2013-11-12,16.569276809692383
2013-11-13,16.589035034179688
2013-11-14,16.828964233398438
2013-11-15,16.72796058654785
2013-11-18,16.525304794311523
2013-11-19,16.554624557495117
2013-11-20,16.409645080566406
2013-11-21,16.605283737182617
2013-11-22,16.562589645385742
2013-11-25,16.688129425048828
2013-11-26,16.995927810668945
2013-11-27,17.396135330200195
2013-11-29,17.71827507019043
2013-12-02,17.564054489135742
2013-12-03,18.044872283935547
2013-12-04,18.002811431884766
2013-12-05,18.095216751098633
2013-12-06,17.84413719177246
2013-12-09,18.04837417602539
2013-12-10,18.020336151123047
2013-12-11,17.886823654174805
2013-12-12,17.860700607299805
2013-12-13,17.666015625
2013-12-16,17.76383399963379
2013-12-17,17.68385887145996
2013-12-18,17.549400329589844
2013-12-19,17.34833526611328
2013-12-20,17.493637084960938
2013-12-23,18.164995193481445
2013-12-24,18.087892532348633
2013-12-26,17.967758178710938
2013-12-27,17.846359252929688
2013-12-30,17.668886184692383
2013-12-31,17.875999450683594
2014-01-02,17.62459373474121
2014-01-03,17.237455368041992
2014-01-06,17.331453323364258
2014-01-07,17.207500457763672
2014-01-08,17.316476821899414
2014-01-09,17.09534454345703
2014-01-10,16.98127555847168
2014-01-13,17.070167541503906
2014-01-14,17.409833908081055
2014-01-15,17.759374618530273
2014-01-16,17.660287857055664
2014-01-17,17.22757911682129
2014-01-21,17.49523162841797
2014-01-22,17.572975158691406
2014-01-23,17.721776962280273
2014-01-24,17.399641036987305
2014-01-27,17.540790557861328
2014-01-28,16.138805389404297
2014-01-29,15.95559024810791
2014-01-30,15.924678802490234
2014-01-31,15.950813293457031
2014-02-03,15.980441093444824
2014-02-04,16.21177101135254
2014-02-05,16.332853317260742
2014-02-06,16.42805290222168
2014-02-07,16.657882690429688
2014-02-10,16.956302642822266
2014-02-11,17.179723739624023
2014-02-12,17.178442001342773
2014-02-13,17.45122528076172
2014-02-14,17.437116622924805
2014-02-18,17.50122833251953
2014-02-19,17.22491455078125
2014-02-20,17.025541305541992
2014-02-21,16.836421966552734
2014-02-24,16.910140991210938
2014-02-25,16.734167098999023
2014-02-26,16.58319091796875
2014-02-27,16.913997650146484
2014-02-28,16.86815643310547
2014-03-03,16.916879653930664
2014-03-04,17.028427124023438
2014-03-05,17.064329147338867
2014-03-06,17.01272201538086
2014-03-07,17.002784729003906
2014-03-10,17.018171310424805
2014-03-11,17.18388557434082
2014-03-12,17.20054817199707
2014-03-13,17.0095157623291
2014-03-14,16.818471908569336
2014-03-17,16.884180068969727
2014-03-18,17.033557891845703
2014-03-19,17.029067993164062
2014-03-20,16.947011947631836
2014-03-21,17.080673217773438
2014-03-24,17.283254623413086
2014-03-25,17.46916961669922
2014-03-26,17.302169799804688
2014-03-27,17.227802276611328
2014-03-28,17.208568572998047
2014-03-31,17.20472526550293
2014-04-01,17.362110137939453
2014-04-02,17.390960693359375
2014-04-03,17.27043342590332
2014-04-04,17.047019958496094
2014-04-07,16.779369354248047
2014-04-08,16.778409957885742
2014-04-09,16.998939514160156
2014-04-10,16.779687881469727
2014-04-11,16.655637741088867
2014-04-14,16.72198486328125
2014-04-15,16.602746963500977
2014-04-16,16.636402130126953
2014-04-17,16.826486587524414
2014-04-21,17.026185989379883
2014-04-22,17.043169021606445
2014-04-23,16.82039451599121
2014-04-24,18.19936180114746
2014-04-25,18.333032608032227
2014-04-28,19.043031692504883
2014-04-29,18.98661231994629
2014-04-30,18.914810180664062
2014-05-01,18.959367752075195
2014-05-02,18.9946231842041
2014-05-05,19.26323699951172
2014-05-06,19.053285598754883
2014-05-07,18.98661231994629
2014-05-08,18.95276641845703
2014-05-09,18.873798370361328
2014-05-12,19.10877799987793
2014-05-13,19.138748168945312
2014-05-14,19.142301559448242
2014-05-15,18.97951889038086
2014-05-16,19.25963020324707
2014-05-19,19.487842559814453
2014-05-20,19.4917049407959
2014-05-21,19.543283462524414
