,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2015-08-18,-302.78401256182264,-114.04858362626103,-407.809715663494,-273.7896451090017,-453.07536617418776,-248.86131907505032,-235.5937837453846,-39.31975484367308,930.1438686684816,-174.6403515990008,-134.1140733636892,-118.01185960110615,-84.65015896173502
2015-08-19,-628.8287683779367,-261.5017362461837,-894.0994347262788,-635.6838143415079,-1121.804097832308,-531.4675738495687,-521.9516744357248,-102.5554671625626,1029.5018196485607,-315.20003359482513,-272.7710505567553,-276.3421349517468,-200.68855936861314
2015-08-20,-1178.828591357968,-552.1254196199977,-1857.7361772602812,-1446.7499586165222,-2459.847500219758,-1079.694753186647,-1074.004882994741,-172.63356987244947,4038.7570507195596,-766.1091943393633,-548.4889349787483,-587.6016492507982,-416.08387269488065
2015-08-21,-1018.5731270638746,-603.2093799602707,-1930.7164764329677,-1708.760763113663,-2921.3615950462918,-1069.929644805673,-1113.1625112673091,-160.04707995712846,4700.706225036255,-811.2585923628108,-513.2033671148216,-655.7742528029269,-456.72771007453923
2015-08-24,-2487.7660377466095,-1124.0202223126232,-3781.9617845633893,-2859.197118356164,-4981.245346934019,-2209.9879604293815,-2199.2248287859834,-397.64507048038405,5890.6264397023115,-1417.4288398163353,-1118.3033107726278,-1196.3122558363116,-857.9465639800925
2015-08-25,-668.1341670167149,-313.88805583392593,-1038.4072750166752,-800.1849673880903,-1426.4041149868715,-600.4474996551802,-606.5020115914855,-117.31129441771755,1122.142380976303,-356.17087931927784,-297.29561731542975,-336.5662123095916,-242.65123672877885
2015-08-26,1554.2109848395642,825.2171374472576,2697.5376474727786,2257.325554412979,3861.24523876219,1527.0986310060207,1558.1980015717245,239.19640924385942,-6064.6551414525275,1112.1343382893258,751.1486246925898,889.2841146975564,624.5467646554763
2015-08-27,1411.9047945370507,651.0186719437584,2174.298020742565,1662.227147705375,2918.766954598674,1264.1188421247043,1266.1063868862957,233.545663440585,-3060.0969973289048,792.425820489781,633.9362041959406,695.1574415893357,499.1239777523855
2015-08-28,487.0916363755346,144.72842042163236,542.3109332565823,280.7167064794259,505.624589062871,348.10905485576865,319.1977572036786,75.61213608409984,-171.78513235030468,170.96307398426885,192.44987218735042,146.32242345135447,111.25241584784675
2015-08-31,404.61811347448196,34.596937740205334,200.4345066012358,-118.03264495476232,-75.41568807695226,174.6921677439873,133.25795239698138,88.61661753137369,2693.3505967444557,-94.90898170040315,109.44468094936181,25.165897066844355,36.85462571710241
2015-09-01,-1844.2882021928356,-826.9709625155544,-2783.788948577711,-2091.686712761925,-3658.6014606410563,-1628.807653828402,-1620.3339610153816,-298.41167025656677,4053.6590942154403,-1026.3168385425072,-824.099588376693,-879.9842072202223,-632.4753357138883
2015-09-02,678.7703943867017,378.67856591470354,1240.034550355605,1072.5489649470205,1778.9101400377585,697.6841355742703,710.4958913758688,89.19327234578951,-3846.3702190187573,576.155828254926,345.8000511536879,407.74371101642174,281.5551378106888
2015-09-03,240.1880351528994,83.67367129717573,286.84822529069356,166.27749003439433,345.99294846463397,175.92039173294225,172.83375921767427,52.419183939754824,650.9885597307493,41.3895519718092,88.6585094051253,88.34352749344866,68.76309499489639
2015-09-04,-737.568715456345,-363.1368005345689,-1191.9446461378525,-947.5234183610845,-1675.3813360563677,-682.9104904187056,-694.5185964573806,-127.84343495248193,1586.1066827253892,-425.5025612477002,-335.5835554021684,-390.67633342274274,-279.7110063880667
2015-09-08,1132.7224618436162,575.7197816927288,1903.9017528966128,1557.5107649122815,2645.361136034604,1088.179482506634,1098.8019652425853,167.25970749567773,-4467.532465326751,799.9233225237703,542.9113772127032,617.3452837781799,433.842224401461
2015-09-09,-699.5568966197054,-335.2529669471152,-1117.9977770476066,-880.623619949564,-1514.0002969135512,-645.9835212126957,-647.6437592985668,-107.74416261819158,2188.0971967246874,-444.675025056531,-324.5372977049466,-358.2023429092838,-254.2350891742666
2015-09-10,135.21381182814508,90.74267188772984,289.7908094190245,273.79688850474065,445.9215506917685,158.01986643146253,164.701215424092,15.36120948739479,-1139.3148153052964,148.11432169221789,76.31906170776506,98.72925832808932,66.71337121330701
2015-09-11,-85.5908887832656,20.784704063430397,38.63132059990293,138.81652305645463,180.1585432162319,-0.14885892461696232,14.878102705531742,-26.02960240545441,-1428.592472830795,92.9929680001593,-7.452011897445115,26.456761631570203,10.811842110178574
2015-09-14,-214.94729072898468,-100.79395221805584,-337.25282991317795,-261.77483882750766,-452.04991504467654,-195.6760670707838,-195.62636084780678,-33.53686737369273,613.2763377820459,-131.46614133016024,-98.58234082625364,-107.53762139846306,-76.6041310900619
2015-09-15,763.6515237429147,342.9448158187405,1153.1219295932576,866.7700035248762,1519.6050259088802,674.3356483434015,671.5012379480049,124.63554184232169,-1621.1011125644973,421.38084269360616,340.6567941896725,365.1147898577724,262.6136765884334
2015-09-16,690.5482654321114,282.9783006969361,967.4313865640548,677.8912011447259,1211.0416667889585,576.4140157850017,566.2605962151031,116.38188810726588,-840.2207941589126,324.34140061579984,295.28865308743343,299.0589351189831,218.45193467319072
2015-09-17,-354.7467352037627,-128.64180592306465,-429.8720334722458,-254.5985304559553,-553.4982746383363,-260.2673081730022,-261.2338684012518,-85.67215102032125,-1387.072884312065,-35.19873333647916,-126.92677343930266,-137.38747275520677,-107.91335525676942
2015-09-18,-1173.1174200789762,-502.8343608506089,-1698.006396011467,-1228.5263769733854,-2200.721049300455,-1001.3652973813624,-993.8827730912857,-202.50796818421304,1464.3047362333343,-565.3600915654358,-506.4577397392943,-534.3506672464614,-389.0525950504848
2015-09-21,367.7462723743045,156.33751165360638,512.3653024410936,357.6833864848148,707.3256961457199,300.25455811274725,306.12689671600697,82.31001159054755,702.5012316125234,98.34248644959992,144.80628738293237,168.34300986234925,126.91346659435526
2015-09-22,-823.2343777647271,-363.28397424582505,-1233.9796043031886,-921.2708663616631,-1586.1806449520918,-725.4788865095334,-716.0619374798523,-125.30153572493596,2201.9882447136224,-481.3995236303609,-371.32443153215456,-385.01356662799043,-275.48638901143005
2015-09-23,-248.31588975200106,-91.60366955366268,-321.4865846783095,-206.5808427075641,-371.71517578248535,-196.1037214309689,-188.6782045326092,-41.19395377839964,191.3271953800154,-103.7159254586206,-102.86470282450968,-95.64977027260792,-70.79842361269526
2015-09-24,105.09208417613937,-7.109393009512555,6.230439830593868,-95.06668225738014,-114.52494917194552,24.72174854509445,10.069504745880366,26.52731063094102,1151.328752527528,-63.71192782830617,19.907930464332633,-11.746877100764324,-1.2924274944381726
2015-09-25,0.13451031237679034,0.5003175260876004,-32.155796081203356,-44.15327384010303,54.69250385040018,-24.13090194744919,-6.381354886440689,38.29018212749403,2315.0902820987053,-155.5569632060085,-27.165019670037466,5.324004907380826,12.391839866702785
2015-09-28,-1214.6483507532882,-602.970374326519,-2012.9478107006446,-1629.4551350010072,-2732.8278704849163,-1157.5126780179526,-1158.961165464892,-168.44002602762652,5239.578543431812,-880.2687172830833,-584.6227397861546,-643.9065456191599,-451.09313788598917
2015-09-29,-10.394646103605163,1.8528992635636188,-11.275929534621774,-5.092409689856026,39.59474184063887,-11.256503371445119,-2.215334105141224,13.028875740301755,818.7842716956287,-55.86590852538618,-12.742976632064574,4.4410807959516365,5.89855050501986
2015-09-30,746.3782822380988,402.1021802412811,1316.8339418826256,1113.9365731537146,1881.0542441090618,744.396995200429,758.1858093379864,108.0575870219729,-3411.884124852121,570.8234046302808,367.76634103480376,432.97067265770335,302.1053634327731
2015-10-01,-85.0134408088383,-1.8420044353035412,-32.3276332445167,38.7499721118621,56.596188087668935,-33.92499709941356,-20.932495184495124,-13.333945290888865,-325.7319346168843,6.689706013775955,-24.75282733976234,1.6798891592532919,-2.0484160229600237
2015-10-02,697.3546383449458,344.95887761708406,1155.8543919484364,935.628800803259,1556.1551024985645,665.6827027417869,664.3036902208225,92.80460989143249,-3226.716199822457,519.4390751322322,337.98066802577637,367.7785847372867,256.85070427656154
2015-10-05,1657.771793204468,655.4411511649982,2264.9510421387763,1546.174084720713,2750.1578625448774,1360.876365519482,1325.2089678514901,272.608979571988,-2074.2735428575434,769.6455195062694,704.8281003331298,689.3088598978699,504.53258216780364
2015-10-06,357.12888998146053,66.78614319391954,263.8692818735435,18.604702122920948,172.31972342015166,188.69859368145865,169.42273839136016,88.86335532940628,2485.5195934225503,-71.58235435250458,102.50454900453222,65.69180366279407,62.82578073578652
2015-10-07,721.3527423576853,289.27307728183945,1006.0618239259629,701.2999410538093,1206.928126838323,603.9693130809832,584.7498546240726,107.55189574068555,-1634.575892685394,386.3611775407363,316.13526906643426,303.29978149611196,219.08772750431314
2015-10-08,903.9082053850841,344.5610600616082,1195.6910808299494,787.9434841653675,1428.193866469305,723.5231397036899,702.4342628090762,154.60847197027098,-578.7583901428607,375.58754405048245,375.25622365901313,361.6780529778884,267.4397702658555
2015-10-09,-292.59578793304837,-77.1579163181215,-281.21749461052013,-106.5985604137198,-271.79214401541293,-184.23079557948046,-173.26630591205966,-66.61543518577459,-1327.905231056566,-1.1033064934562464,-96.785481483347,-79.15099604736184,-66.21384647995546
2015-10-12,-148.0964337345636,-32.12246726742458,-132.3678589338669,-39.60220663593344,-81.62851438330827,-91.5641496333403,-79.21343111489301,-24.08349271775616,-190.4107619140261,-29.262176581915565,-53.29660135187525,-30.806253072174044,-25.3351479806289
