,Mkt-RF,SMB,HML,RF
1931-05-09,0.0242,0.0058,-0.0125,0.00022000000000000003
1931-05-16,-0.051,0.0235,-0.021,0.00022000000000000003
1931-05-23,-0.0383,-0.0058,0.0012,0.00022000000000000003
1931-05-29,-0.058499999999999996,0.0121,-0.023,0.00022000000000000003
1931-06-06,0.0105,-0.0036,0.0354,0.00018999999999999998
1931-06-13,0.044800000000000006,-0.051,0.0467,0.00018999999999999998
1931-06-20,0.016399999999999998,-0.0033,-0.0027,0.00018999999999999998
1931-06-27,0.10529999999999999,-0.0003,0.0429,0.00018999999999999998
1931-07-03,-0.013300000000000001,0.0042,-0.0161,0.00015
1931-07-11,-0.0516,0.0252,-0.0236,0.00015
1931-07-18,-0.0083,-0.0115,-0.0083,0.00015
1931-07-25,-0.021099999999999997,0.015,0.0102,0.00015
1931-08-01,-0.0052,-0.0048,-0.0070999999999999995,9e-05
1931-08-08,-0.0183,0.0091,-0.0325,9e-05
1931-08-15,0.0571,-0.0341,0.0196,9e-05
1931-08-22,-0.040999999999999995,0.0147,0.009899999999999999,9e-05
1931-08-29,0.016,-0.0192,-0.0045000000000000005,9e-05
1931-09-04,-0.0533,0.0369,-0.051699999999999996,6e-05
1931-09-12,-0.0621,0.0144,-0.0131,6e-05
1931-09-19,-0.1093,-0.0012,-0.058899999999999994,6e-05
1931-09-26,-0.0285,-0.0335,0.056600000000000004,6e-05
1931-10-03,-0.1199,0.0002,-0.024700000000000003,0.00026000000000000003
1931-10-10,0.12710000000000002,-0.0276,0.044800000000000006,0.00026000000000000003
1931-10-17,-0.0222,-0.0003,-0.0078000000000000005,0.00026000000000000003
1931-10-24,0.0461,-0.0013,-0.0073,0.00026000000000000003
1931-10-31,-0.0318,0.0031,0.016200000000000003,0.00026000000000000003
1931-11-07,0.0757,-0.0014000000000000002,0.023799999999999998,0.00042
1931-11-14,-0.063,0.0408,-0.0269,0.00042
1931-11-21,-0.0691,0.020099999999999996,-0.0124,0.00042
1931-11-28,-0.0626,0.0236,-0.0317,0.00042
1931-12-05,0.0174,-0.0608,-0.015700000000000002,0.00031
1931-12-12,-0.11199999999999999,0.021099999999999997,-0.0591,0.00031
1931-12-19,0.0171,-0.0181,-0.0076,0.00031
1931-12-24,-0.047,0.0225,-0.044000000000000004,0.00031
1932-01-02,-0.015600000000000001,0.0203,0.0482,0.00058
1932-01-09,0.0721,-0.037599999999999995,0.0973,0.00058
1932-01-16,0.0409,-0.012199999999999999,0.0269,0.00058
1932-01-23,-0.0562,0.0194,-0.01,0.00058
1932-01-30,-0.0313,0.038900000000000004,-0.0199,0.00058
1932-02-06,-0.023399999999999997,0.0026,0.0012,0.00057
1932-02-13,0.13390000000000002,-0.0916,0.0085,0.00057
1932-02-20,-0.0236,0.0383,-0.0187,0.00057
1932-02-27,-0.022400000000000003,0.008100000000000001,-0.0039000000000000003,0.00057
1932-03-05,0.0661,-0.0259,0.012,0.00040999999999999994
1932-03-12,-0.0345,0.015600000000000001,0.009399999999999999,0.00040999999999999994
1932-03-19,-0.067,0.0287,-0.0216,0.00040999999999999994
1932-03-26,-0.0438,0.0187,-0.009399999999999999,0.00040999999999999994
1932-04-02,-0.059800000000000006,0.0131,-0.036699999999999997,0.00029
1932-04-09,-0.09570000000000001,0.01,-0.0148,0.00029
1932-04-16,-0.0006,-0.0273,0.046900000000000004,0.00029
1932-04-23,-0.0431,-0.0008,0.016,0.00029
1932-04-30,-0.0279,0.0134,0.0029,0.00029
1932-05-07,0.0253,-0.0227,0.0132,0.00015
1932-05-14,-0.0745,0.0552,-0.0219,0.00015
1932-05-21,-0.0008,-0.028300000000000002,-0.0032,0.00015
